keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"equalizer","10","10","4.65","4.35","0","Poweramp Equalizer | Flat Equalizer - Bass Booster | Music Volume EQ - Equalizer | XEQ Equalizer & Bass Booster | Equalizer- Bass Booster&Volume | Fast Equalizer - Bass Booster | Equalizer Pro & Bass Booster | Equalizer: Bass & Volume Boost | °SOUND° Beautifier - Equalizer | SpotEQ31 - 31 Band Equalizer"
"voice changer","10","7","4.05","2.37","0","Voice changer with effects | Voicemod | Voices AI: Voice Changer | Video Voice Editor + Effects | Voice Changer - Sound Effects | Fake Voice: Voice Changer | Dubbing AI - AI Voice Changer | Funny Voice Changer | VoClone: AI Voice Changer | VoiceWave-AI Voice Generator"
"air quality","10","7","3.73","2.95","0","IQAir AirVisual | Air Quality | EPA's AIRNow | AQI (Air Quality Index) | Plume Labs: Air Quality App | Airity - AQI Meter Air Quality | Airveda - Air Quality | AirScope: Pollen & Air Quality | Weather Forecast by WeatherBug | European Air Quality Index | Airly"
"pollen","10","7","3.83","2.59","0","Allergy Plus by Pollen.com | Pollen Count & Alerts | Pollen Count: Forecast, Alerts | Pollen Wise | klarify: Pollen & Allergy App | ZYRTEC® AllergyCast® | AllerAid+ | Allergy & AQI Trk | AirScope: Pollen & Air Quality | IQAir AirVisual | Air Quality | Allergy Buddy: Pollen Tracker"
"uv index","10","9","3.73","2.86","0","Sun Tracker: UV Index & Tan | UVLens - UV Index Forecasts | UV Index, Forecast & Tan Info | Sunny Side - UV Index | UV index now | UVIMate - UV Index Now | SunSmart Global UV | UVlower sun tracker & uv index | UV Index | UV Index Widget & SPF Forecast"
"co parenting","10","0","3.77","2.28","0","AppClose: Co-Parent Essentials | TalkingParents: Co-Parent App | OurFamilyWizard Co-Parent App | Co-parenting: Shared Parenting | Our Days Co-Parenting Calendar | BestInterest for Coparents | 2houses | Co-Parenting App | coParenter | coparent - Co-Parenting Hub | The Coparent App: Co-Parenting"
"vegan","10","10","4.36","3.56","0","HappyCow - Vegan Food Near You | The Vegan App | Veggly – Vegan Dating App | I'm vegan | Vegan Norway | Vegan & vegetarian - VegUp | Vegan Scanner - VegVisor | SO VEGAN: Healthy Recipes | Vegie: Vegan Food Scanner | Vegan Friendly"
"camping","10","6","4.25","3.14","0","Hipcamp: Camping, RVs & Cabins | Recreation.gov | Campsite: Camping, RVs & Maps | iOverlander | The Dyrt: RV & Free Camping | KOA Camping | RV, Cabin & Tent | Camping App Van & Camping | CAMPING-CAR PARK | National Park Service | park4night - Motorhome camper"
"travel planner","10","5","4.25","2.50","0","Wanderlog - Trip Planner App | TripIt: Travel Planner | Stippl: AI Travel Planner | Tripadvisor: Plan & Book Trips | Roadtrippers - Trip Planner | Holicay – Travel Planner | Polarsteps | Itinerate - Travel planner | Lambus | Travel Planner | Skyscanner Flights Hotels Cars"
"phot editing nails","10","0","3.47","1.88","0","Nail Design Studio | Nail Art Design Photo Editor | Nail Art AI - Polish Simulator | Try Nails-AI Fake Nail Designs | Nail Art Design: Paint Nails | AR Nails Design Ideas Editor | Nail Art Design Ideas | Nail Art Designs & Ideas | Nail POP - Playground for Nail | Nails Art Designs"
"puppy training","10","4","4.21","2.54","0","Dogo — Puppy and Dog Training | Zigzag - Dog & Puppy Training | Puppr - Dog Training & Tricks | Woofz - Puppy and Dog Training | Hundeo - Puppy & Dog Training | PPS - Dog & Puppy Training | Dog Assistant - Puppy Training | Dog Training App — GoDog | Dogit - Dog & Puppy Training | Barksy — Puppy & Dog Training"
"dog training","10","6","4.38","4.07","0","Dogo — Puppy and Dog Training | Puppr - Dog Training & Tricks | Woofz - Puppy and Dog Training | Hundeo - Puppy & Dog Training | Zigzag - Dog & Puppy Training | Dog Training App — GoDog | PawChamp - Dog Training & Care | Dog whistle & training app | PPS - Dog & Puppy Training | Dog Assistant - Puppy Training"
"plant identifier","10","7","4.44","4.05","0","PictureThis - Plant Identifier | PlantNet Plant Identification | Plant App - Plant Identifier | Plant Identifier Plant Scanner | Plantum - Plant Identifier | Blossom - Plant Identifier | Flora Incognita | PlantIn Plant Identifier, Care | Google Lens | Plant Identifier: LeafSnap"
"therapy notes","10","2","3.87","2.06","0","TherapyNotes Mobile | Therapeze - Therapy Notes | Autism Therapy Notes | Therapy Journal: TheryMate | Talkspace Therapy & Counseling | BetterHelp - Therapy | Unstuck: CBT Therapy Journal | Conversation Therapy Lite | Therapy in a Nutshell | AI Therapy: CBT Thought Diary"
"old photo restore","10","1","3.89","2.53","0","Renew - Old Photo Restoration | Relumi: Restore Old Photos AI | LumiRevive Restore old photos | Face Restore Color Old Photos! | Data & Photo Recovery | DiskDigger photo/file recovery | Old Photo Restore Repair | Old Picture Restoration, Fix | Restore Old Deleted Photos | jpgHD AI Photo Restoration"
"background remover","10","2","4.28","3.33","0","Background Eraser | Background Eraser Photo Editor | Background remover - remove.bg | Photoroom: AI Photo Editor | Background Remover: Offline | Background Eraser - BG Remover | Picsart AI Photo Editor, Video | Remove Objects - Photo Editor | Remove Background | Background Eraser: Remove BG"
"ai headshot","10","7","4.19","3.10","0","GIO: AI Headshot Generator | Headshot AI Pro: Perfect Photo | AI Headshot & Photo Generator | Aragon.ai: Headshot Generator | Headshot Plus: AI Headshots | Headshot AI: Photo Generator | Gleem: AI Headshot Generator | Dr. Headshot - AI Headshots | AI Headshot for CV & LinkedIn | AI Headshot Generator"
"ai tattoo","10","5","4.29","3.47","0","Tattoo AI - Tattoo Design | Tattooist: AI Tattoo Generator | TattooInk: AI Tattoo Generator | InkPulse AI - Tattoo Generator | Tattoo AI Design Generator INK | PreInk – Tattoo design maker | Tattoo AI - Tattoo Designs App | AI Tattoo Design | AI Tattoo Maker - Ink | Ai Tattoo ldeas-Art Generator"
"baby names","10","7","3.69","2.83","0","Baby Name Genius: Swipe Names | Baby Name Together | Baby Names / First Names 2025 | Babyname | Noma Baby Names: Swipe & Match | Naymt | Baby Names | Kinder - Find Baby Names | Baby Names by Nameby | Baby Names & Meanings | Baby Names for Boys & Girls"
